,구별,날짜,강수량,1시간최다강수량,사망자수,중상자수,경상자수,부상신고자수,건수,강수여부,폭우여부1,폭우여부2,폭우여부종합
209,강남구,2018-07-30,0.0,0.0,0.0,5.0,15.0,0.0,16.0,0.0,0,0,0
210,강남구,2018-07-31,0.0,0.0,0.0,1.0,4.0,0.0,5.0,0.0,0,0,0
211,강남구,2018-08-01,0.0,0.0,0.0,4.0,14.0,0.0,12.0,0.0,0,0,0
212,강남구,2018-08-02,0.0,0.0,0.0,1.0,18.0,1.0,11.0,0.0,0,0,0
213,강남구,2018-08-03,0.0,0.0,0.0,0.0,7.0,0.0,6.0,0.0,0,0,0
214,강남구,2018-08-04,0.0,0.0,0.0,1.0,8.0,1.0,10.0,0.0,0,0,0
215,강남구,2018-08-05,0.5,0.5,0.0,2.0,10.0,5.0,8.0,1.0,0,0,0
216,강남구,2018-08-06,53.5,46.0,0.0,2.0,7.0,0.0,5.0,1.0,0,1,1
217,강남구,2018-08-07,0.0,0.0,0.0,4.0,3.0,0.0,4.0,0.0,0,0,0
218,강남구,2018-08-08,0.0,0.0,0.0,1.0,7.0,1.0,8.0,0.0,0,0,0
219,강남구,2018-08-09,30.5,23.5,0.0,5.0,15.0,3.0,18.0,1.0,0,0,0
220,강남구,2018-08-10,0.0,0.0,0.0,4.0,5.0,0.0,9.0,0.0,0,0,0
221,강남구,2018-08-11,0.0,0.0,0.0,2.0,11.0,1.0,9.0,0.0,0,0,0
222,강남구,2018-08-12,0.0,0.0,1.0,2.0,5.0,0.0,5.0,0.0,0,0,0
223,강남구,2018-08-13,3.0,3.0,1.0,1.0,7.0,0.0,9.0,1.0,0,0,0
224,강남구,2018-08-14,0.0,0.0,0.0,1.0,9.0,0.0,9.0,0.0,0,0,0
225,강남구,2018-08-15,1.0,1.0,0.0,2.0,14.0,3.0,7.0,1.0,0,0,0
226,강남구,2018-08-16,0.0,0.0,0.0,2.0,10.0,1.0,6.0,0.0,0,0,0
227,강남구,2018-08-17,0.0,0.0,0.0,2.0,17.0,1.0,10.0,0.0,0,0,0
228,강남구,2018-08-18,0.0,0.0,0.0,3.0,13.0,1.0,13.0,0.0,0,0,0
229,강남구,2018-08-19,0.0,0.0,0.0,3.0,11.0,0.0,9.0,0.0,0,0,0
230,강남구,2018-08-20,0.0,0.0,0.0,2.0,14.0,3.0,15.0,0.0,0,0,0
231,강남구,2018-08-21,4.5,3.0,0.0,4.0,14.0,1.0,15.0,1.0,0,0,0
232,강남구,2018-08-22,0.0,0.0,0.0,5.0,11.0,2.0,15.0,0.0,0,0,0
233,강남구,2018-08-23,2.0,1.5,0.0,5.0,7.0,0.0,9.0,1.0,0,0,0
234,강남구,2018-08-24,10.5,2.0,0.0,6.0,5.0,3.0,10.0,1.0,0,0,0
235,강남구,2018-08-25,0.0,0.0,0.0,1.0,14.0,1.0,11.0,0.0,0,0,0
236,강남구,2018-08-26,1.5,1.0,0.0,1.0,7.0,3.0,4.0,1.0,0,0,0
237,강남구,2018-08-27,24.5,11.0,0.0,1.0,20.0,3.0,15.0,1.0,0,0,0
238,강남구,2018-08-28,98.0,30.0,0.0,4.0,12.0,0.0,13.0,1.0,1,1,2
239,강남구,2018-08-29,18.5,6.0,0.0,2.0,8.0,0.0,6.0,1.0,0,0,0
240,강남구,2018-08-30,7.0,4.0,1.0,0.0,10.0,2.0,8.0,1.0,0,0,0
241,강남구,2018-08-31,0.5,0.5,0.0,2.0,14.0,0.0,12.0,1.0,0,0,0
242,강남구,2018-09-01,0.0,0.0,0.0,3.0,7.0,1.0,9.0,0.0,0,0,0
243,강남구,2018-09-02,0.0,0.0,0.0,0.0,6.0,0.0,4.0,0.0,0,0,0
244,강남구,2018-09-03,46.5,28.0,0.0,1.0,7.0,1.0,5.0,1.0,0,0,0
245,강남구,2018-09-04,0.0,0.0,0.0,1.0,12.0,1.0,9.0,0.0,0,0,0
246,강남구,2018-09-05,0.0,0.0,0.0,4.0,18.0,2.0,15.0,0.0,0,0,0
247,강남구,2018-09-06,1.0,0.5,0.0,3.0,9.0,1.0,11.0,1.0,0,0,0
248,강남구,2018-09-07,1.0,1.0,0.0,2.0,4.0,0.0,6.0,1.0,0,0,0
249,강남구,2018-09-08,0.0,0.0,0.0,1.0,12.0,0.0,11.0,0.0,0,0,0
250,강남구,2018-09-09,0.0,0.0,0.0,0.0,6.0,1.0,5.0,0.0,0,0,0
251,강남구,2018-09-10,0.0,0.0,0.0,0.0,10.0,0.0,6.0,0.0,0,0,0
252,강남구,2018-09-11,0.0,0.0,0.0,0.0,6.0,0.0,6.0,0.0,0,0,0
253,강남구,2018-09-12,0.0,0.0,0.0,4.0,9.0,2.0,12.0,0.0,0,0,0
254,강남구,2018-09-13,0.0,0.0,0.0,1.0,11.0,1.0,10.0,0.0,0,0,0
255,강남구,2018-09-14,0.5,0.5,0.0,3.0,14.0,0.0,12.0,1.0,0,0,0
256,강남구,2018-09-15,1.0,0.5,0.0,1.0,14.0,0.0,11.0,1.0,0,0,0
257,강남구,2018-09-16,1.0,0.5,0.0,1.0,5.0,0.0,4.0,1.0,0,0,0
258,강남구,2018-09-17,0.0,0.0,0.0,1.0,7.0,0.0,5.0,0.0,0,0,0
259,강남구,2018-09-18,0.0,0.0,0.0,3.0,12.0,1.0,9.0,0.0,0,0,0
260,강남구,2018-09-19,0.0,0.0,0.0,2.0,7.0,2.0,10.0,0.0,0,0,0
261,강남구,2018-09-20,5.5,2.0,1.0,4.0,27.0,1.0,17.0,1.0,0,0,0
262,강남구,2018-09-21,19.5,5.5,0.0,1.0,12.0,0.0,10.0,1.0,0,0,0
263,강남구,2018-09-22,12.0,12.0,0.0,0.0,11.0,1.0,7.0,1.0,0,0,0
264,강남구,2018-09-23,0.0,0.0,0.0,2.0,1.0,0.0,3.0,0.0,0,0,0
265,강남구,2018-09-24,0.0,0.0,0.0,1.0,4.0,0.0,4.0,0.0,0,0,0
266,강남구,2018-09-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
