,가게링크,가게이름,가게주소,구 이름,별점
152,https://place.map.kakao.com/1719812451,서울밥집,서울 관악구 관천로 36-1 1층,관악구,3.4
153,https://place.map.kakao.com/26106341,가네샤,서울 관악구 대학길 46,관악구,4.4
154,https://place.map.kakao.com/17024474,코코미,서울 관악구 관악로 146,관악구,3.0
155,https://place.map.kakao.com/27583092,어사출또 신림역점,서울 관악구 남부순환로 1597-8 2층,관악구,3.8
156,https://place.map.kakao.com/27325940,더멜팅팟,서울 관악구 관악로14가길 2,관악구,3.9
157,https://place.map.kakao.com/27320515,물찬조개,서울 관악구 조원로 43,관악구,3.1
158,https://place.map.kakao.com/369747426,스시와,서울 관악구 남부순환로246길 43,관악구,4.0
159,https://place.map.kakao.com/16709072,삼미옥,서울 관악구 남부순환로 1829-6,관악구,3.1
160,https://place.map.kakao.com/1647666444,로향양꼬치 서울대2호점,서울 관악구 낙성대로 12 1층,관악구,3.8
161,https://place.map.kakao.com/16766185,목포회센타,서울 관악구 남부순환로 1766,관악구,3.6
162,https://place.map.kakao.com/2074224653,스타벅스 관악서울대입구R점,서울 관악구 관악로 158 BS타워 1층,관악구,3.7
163,https://place.map.kakao.com/1420174243,가츠가게,서울 관악구 낙성대로4가길 12 1층,관악구,4.7
164,https://place.map.kakao.com/1493535426,멘쇼우라멘,서울 관악구 남부순환로230길 25,관악구,3.8
165,https://place.map.kakao.com/1090467,장수촌풍천장어직판장,서울 관악구 남부순환로 2082-37 2층,관악구,3.2
166,https://place.map.kakao.com/16559559,효자골,서울 관악구 봉천로12길 13,관악구,4.2
167,https://place.map.kakao.com/427369680,스타벅스 낙성대DT점,서울 관악구 남부순환로 1948,관악구,2.8
168,https://place.map.kakao.com/600990627,오지편한식당,서울 관악구 관악로14길 105 1층,관악구,3.6
169,https://place.map.kakao.com/16502330,완산정,서울 관악구 봉천로 484,관악구,2.8
170,https://place.map.kakao.com/17127069,스타벅스 서울대입구역점,서울 관악구 남부순환로 1812,관악구,4.3
171,https://place.map.kakao.com/27076509,차이나당,서울 관악구 낙성대로 16 2층,관악구,3.2
172,https://place.map.kakao.com/784815881,스타벅스 신림DT점,서울 관악구 남부순환로 1419,관악구,3.8
173,https://place.map.kakao.com/1854250841,카도야라멘 서울대점,서울 관악구 남부순환로 1811,관악구,3.0
174,https://place.map.kakao.com/7844835,청보리한우,서울 관악구 남부순환로 1453,관악구,2.3
175,https://place.map.kakao.com/11831468,성민양꼬치,서울 관악구 관악로16길 38,관악구,3.7
176,https://place.map.kakao.com/1500944707,이자카야 혼네,서울 관악구 관악로14길 6-4 1층,관악구,4.7
177,https://place.map.kakao.com/13492205,만경양육관,서울 관악구 남현3길 78,관악구,3.9
178,https://place.map.kakao.com/24177939,미남포차,서울 관악구 봉천로 236,관악구,4.6
179,https://place.map.kakao.com/1714588996,이자카야잔잔 샤로수길점,서울 관악구 남부순환로230길 22 1층,관악구,3.8
180,https://place.map.kakao.com/16332662,니와,서울 관악구 호암로22길 69,관악구,2.2
181,https://place.map.kakao.com/16530038,가야,서울 관악구 신림로 323 2층,관악구,3.9
182,https://place.map.kakao.com/18826167,오렌지연필,서울 관악구 남부순환로 1895,관악구,2.9
183,https://place.map.kakao.com/1193682047,미남대게 신림점,서울 관악구 신림로64길 17,관악구,2.2
